L_accx_1,L_accy_1,L_accz_1,L_accx_2,L_accy_2,L_accz_2,L_accx_3,L_accy_3,L_accz_3,L_accx_4,L_accy_4,L_accz_4,L_accx_5,L_accy_5,L_accz_5,R_accx_1,R_accy_1,R_accz_1,R_accx_2,R_accy_2,R_accz_2,R_accx_3,R_accy_3,R_accz_3,R_accx_4,R_accy_4,R_accz_4,R_accx_5,R_accy_5,R_accz_5,Label
3432,-35,-436,2006,131,6784,673,105,3669,124,250,2712,-278,554,2311,-9298,-880,-7481,-3174,-24,5326,-1250,-278,1528,378,243,183,617,-26,-123,0
5244,-4305,3990,1603,-1229,4910,132,-206,3046,-24,-144,2581,-304,194,2444,-7046,-3965,-365,-17991,20914,7607,113,245,456,441,95,9,852,258,-133,0
4195,345,4835,1587,-480,4103,300,255,2805,270,113,2479,103,326,2511,-4167,-1974,-3644,-2824,-62,5295,-972,-389,1246,443,77,62,714,257,-109,0
3348,-653,390,1590,1500,6378,407,89,3507,144,226,2818,-292,423,2290,-6518,-5555,-868,-1118,1203,2124,88,-15,414,492,-148,-3,810,40,-146,0
16305,3202,-5608,3365,2251,6252,1214,7,3691,167,348,2810,-74,361,2635,-13464,-69,-8201,-993,48,963,611,158,-63,624,118,-183,767,60,-68,0
7638,1752,-2239,2570,1268,7119,446,153,3561,9,209,2856,-60,241,2388,-5803,-3786,153,134,193,505,566,-61,-109,584,73,-125,850,-234,-18,0
4513,-2162,3946,1163,-416,5002,29,176,3108,209,185,2701,-442,431,2197,-5620,-3283,-351,240,-128,522,730,-19,-173,571,68,-149,641,-127,-135,0
5609,-3414,3092,913,-1120,4659,-162,-273,3040,-250,-129,2586,-250,50,2559,-7088,-3552,-941,-2429,2484,4208,-301,-81,755,378,-177,79,768,152,-125,0
10339,2559,-2574,758,2509,7005,473,-62,3728,9,145,2782,-153,416,2407,-4913,-4612,-286,-1689,-226,2514,269,136,362,602,-14,-66,709,-86,-92,0
3603,-1049,5523,395,-453,4650,39,-95,3282,-111,55,2732,-443,284,2423,-4052,-2083,667,-1584,1215,3221,138,201,561,434,-110,77,795,-112,-105,0
3014,-3454,3305,1470,-790,5967,138,-255,3390,-146,-110,2691,-262,167,2529,-11274,-1782,-6038,-1819,-1603,1576,701,195,-88,630,41,-152,930,-268,-46,0
3196,-2031,2042,1127,1383,6152,121,139,3685,152,-149,2991,-526,428,2316,-12954,1663,-6027,-12376,-17012,1887,674,216,-85,588,-34,-168,869,-97,-29,0
4640,-3546,6931,1575,-980,4279,89,-183,2876,-123,-74,2614,-197,12,2590,-4705,-4810,1493,-1999,-1431,2061,356,119,177,669,318,-110,711,0,-84,0
2912,469,2518,4,1363,4747,124,141,3154,105,468,2800,-378,570,2365,-2252,-2831,1068,42,-67,351,605,15,-94,594,0,-164,521,-240,-181,0
-1272,-2295,2229,497,311,3168,-734,625,2425,-573,640,2404,-918,350,2625,1101,-4373,2005,633,51,-11,169,318,-41,617,146,-212,147,787,4,0
-4807,-6300,1917,-3968,-1845,2130,-3082,-1503,1944,-2570,-1874,2143,-1691,-1241,2474,3344,584,207,-185,203,-123,-119,113,-129,-140,117,-139,-230,195,-90,0
498,-1716,3431,-3,-1261,2641,-303,-1050,2499,-223,-992,2262,12,-935,2314,11165,773,-4161,89,-167,174,-329,-183,-6,-313,-298,-90,-700,-189,96,0
-2329,-2345,3616,-571,-753,3376,159,-733,2622,-25,-860,2507,211,-485,2369,6429,1916,1471,-77,9,298,-466,-285,-38,-464,52,-133,-678,53,-40,0
-3264,-179,4783,-841,65,3929,18,-564,2818,-252,-299,2534,276,-405,2252,16150,-643,-6547,1169,119,1476,-463,-7,-52,-549,-66,-207,-714,227,-9,0
-11127,-2589,-3597,-2459,599,4985,-464,-563,3248,-361,-221,2726,371,-549,2353,7372,-522,1525,2434,393,1841,-310,-33,82,-455,-64,-64,-460,154,-108,0
-8582,-1992,-3279,-2250,254,5752,-685,305,3269,-295,151,2660,263,-396,2396,10036,1689,-1182,20,-89,407,-603,-74,-113,-522,1,-127,-821,212,19,0
-2859,2686,4306,-1396,288,4596,-368,-145,3028,-345,-20,2579,226,-316,2401,15426,-1374,-8780,4228,949,3417,1027,207,1290,-289,-100,172,-745,-54,-63,0
-4016,41,4645,-1635,341,3693,-395,-447,2697,-267,-269,2427,-133,-496,2365,9573,-1169,-5362,2558,-1158,2942,90,-248,493,-418,-4,48,-771,2,-38,0
-4164,364,6117,-1026,-67,4079,-410,21,2819,-243,-167,2563,-41,-329,2452,7967,-750,-6151,2791,-909,3373,349,-30,609,-435,112,-5,-652,-81,-87,0
-4431,933,-3088,-1866,-886,5096,-1048,-37,3214,-697,-90,2615,-76,-561,2455,8113,3666,-321,2473,-162,2343,83,-255,367,-352,-31,-12,-456,119,-107,0
-3617,495,6826,-1332,692,3994,-377,98,2808,-159,-412,2610,15,-290,2472,15314,616,-9757,4955,-2291,5451,1082,119,1182,-264,-27,118,-599,164,-118,0
-3890,60,4639,-1046,-126,4029,-309,-143,2933,-259,-191,2651,157,-415,2418,8176,1261,-5974,3188,-1724,4007,494,-34,745,-333,31,69,-642,26,-126,0
-5704,-301,-2244,-1547,-1095,5581,-588,-87,3156,-525,-93,2687,-153,-411,2469,5666,1575,3208,1827,776,1474,-325,-73,173,-546,-82,-95,-691,143,-54,0
-2753,-258,-1754,-1566,-2245,5825,-1264,101,3596,-574,-237,2741,54,-707,2357,17532,1555,-11780,4938,-2303,4812,892,-61,983,-50,-48,92,-606,95,2,0
-7864,-58,-2889,-3226,1519,4825,-797,-342,3086,-591,-215,2610,-150,-444,2467,6579,3489,871,2596,1019,2165,-111,-106,272,-427,26,-85,-502,44,-82,0
-5474,938,-3714,-2728,721,4636,-829,-371,3070,-653,-314,2647,-36,-561,2338,4983,2156,4600,1029,-54,1637,-142,-21,239,-520,-179,-70,-543,90,-98,0
-4024,2462,4120,-3156,1623,4889,-467,-308,2950,-317,-256,2465,0,-285,2455,9479,-1640,-8468,3724,-1495,5223,952,261,1432,-216,145,146,-713,220,-39,0
-6728,3595,3727,-1811,136,4749,-210,-450,2846,-315,-404,2487,74,-404,2385,16884,-1665,-10005,5707,974,3487,857,-300,1366,-34,-6,279,-507,14,-43,0
-4029,2489,7821,-1442,0,3991,-369,-245,2749,-158,-384,2412,30,-352,2511,11461,622,-7798,3287,-1909,3858,621,76,1023,-266,238,136,-612,62,-118,0
-2974,-331,7251,-841,74,4059,-346,59,2887,-231,-329,2675,254,-361,2331,6508,2917,-3162,2386,-1795,3308,749,136,1237,-154,107,151,-643,174,9,0
-14217,-4586,-6087,-2702,-1343,5931,-641,-473,3257,-460,-368,2649,7,-598,2405,6342,4877,-559,2640,-1114,4037,573,4,821,-249,225,61,-579,198,-84,0
-3976,258,7068,-1011,136,4218,-157,-107,2955,-223,-35,2664,3,-264,2447,5659,3259,-2499,2712,605,3630,165,-39,640,-505,121,-2,-688,-12,-105,0
-5844,1527,1326,-2285,-284,5124,-530,-72,3040,-409,-125,2593,-10,-485,2399,7842,952,-6296,3695,-3017,5787,1253,851,1087,-457,-2,99,-787,-55,-122,0
-3936,1251,3831,-1160,-1012,4126,-696,-108,3116,-490,-25,2646,-140,-308,2463,3138,2051,1174,2327,565,2998,-10,-33,539,-485,200,-52,-680,-61,-98,0
-5836,1026,3372,-1357,-836,4556,-279,-437,2926,-283,-216,2683,208,-360,2665,1408,2044,-1032,1945,479,2394,-114,8,414,-566,213,-46,-756,219,-51,0
-5728,2701,3579,-1391,611,4698,-408,-244,3139,-93,-496,2585,168,-387,2397,13952,-1461,-7811,1125,272,1720,-562,-67,-37,-568,65,-141,-590,308,-104,0
-4508,3022,3759,-86,-117,3121,-74,-374,2669,24,-413,2431,462,-433,2283,3006,1932,691,-164,-40,601,-630,-105,-101,-453,147,-171,-546,-7,-110,0
1908,5445,3413,137,3369,1880,-392,2071,2117,-336,1896,1965,-27,472,2698,1629,1669,914,-30,25,6,-69,-498,-147,7,-313,-131,85,-319,-113,0
-2451,-3366,3448,-15608,31271,-3558,2105,461,2200,1721,549,2169,1241,170,2279,-10961,1638,-6100,-959,363,1731,178,-69,-26,300,-71,-98,266,-289,-108,0
9657,3428,427,1458,-263,3656,561,110,2527,337,364,2386,-6,153,2359,-10636,160,-2463,-1489,-926,1066,238,-185,-55,430,-5,-61,441,-238,-90,0
9925,4664,1108,855,2333,5870,1383,-347,3817,15,250,2687,-58,286,2356,-8955,-1714,-2796,-3206,804,3119,-5,314,500,67,-353,17,480,-333,-78,0
9896,5983,1494,1164,-78,7876,1006,193,4008,-126,278,2706,-383,450,2342,-6818,660,-4295,-313,57,873,411,-22,-72,417,-136,-151,540,-203,-104,0
2472,-263,3818,1038,-216,4398,35,-26,2894,12,71,2588,-146,66,2486,-11302,465,-5826,-1034,56,2098,384,-53,30,494,-8,-124,712,32,-91,0
94,-1244,4558,633,320,4874,166,33,3144,318,-60,2772,-221,156,2436,-2838,-1561,1174,156,253,880,379,-39,-30,491,12,-165,658,-119,-41,0
1389,813,6707,-223,183,2869,70,153,2529,-87,355,2425,-578,123,2254,-5343,-1020,784,265,1,198,504,5,-94,441,-10,-107,476,-192,-91,0
3548,-482,4159,1032,155,4962,31,-7,2966,76,-118,2655,-542,294,2353,-14213,3117,-7221,-1000,-191,1470,518,3,-44,500,-59,-133,421,-253,-114,0
743,2087,4739,1355,-700,4202,-191,93,2773,-107,-45,2566,-341,245,2394,-7131,-1144,974,149,204,210,355,-63,-136,323,-30,-156,473,-216,24,0
3780,-1004,3317,555,-26,4690,-189,97,2995,-61,-29,2551,-275,93,2409,-9684,527,-6849,-712,-187,840,489,15,-113,446,-69,-113,791,-85,55,0
6814,2334,-2059,1571,1380,5348,825,-147,3264,323,-91,2643,-158,-76,2522,-11473,-253,-1862,-4153,-4904,1079,-33,400,101,542,-190,-176,542,101,-77,0
3597,1548,4122,2303,-309,4427,366,491,2896,440,308,2460,37,442,2372,-15213,449,-7135,-3646,3086,5243,-651,271,958,621,238,79,673,-173,-59,0
4065,-1599,5239,1666,-477,4367,278,282,2771,329,434,2564,157,302,2345,-17243,-1341,-10451,-3378,-552,1917,-148,281,299,385,39,42,466,-341,-146,0
2155,-1830,4012,482,-305,2908,52,98,2368,247,-100,2168,-319,-303,2422,-5225,319,-3243,338,203,155,374,-220,-185,330,40,-160,348,-102,-82,0
1270,-1106,4078,-690,1222,4010,-582,-105,3023,-233,-242,2883,-467,119,2428,-4226,-688,1987,-903,570,1938,65,-243,344,437,-27,2,718,10,24,0
4169,1223,471,566,1411,6557,616,-463,3797,133,-10,2798,-322,149,2339,-15887,1947,-8014,-1079,-350,1268,561,25,-65,592,-1,-138,750,-127,24,0
3503,255,4290,1981,-448,4954,-157,582,3029,163,-31,2459,-264,269,2351,-9839,-616,-6180,-2654,723,3243,-332,-105,659,538,-36,37,645,-66,-120,0
2429,-988,5137,702,908,5380,62,262,3160,113,40,2654,-335,383,2318,-5471,-588,-3103,-2219,-256,2619,109,302,486,280,-284,47,741,0,-38,0
5091,1608,-456,2101,448,5213,525,-25,3161,582,-213,2756,-43,256,2418,-4539,-508,361,-1441,637,2085,279,133,290,389,-214,20,980,222,-110,0
4456,998,5666,842,512,3401,178,367,2730,351,265,2648,-360,326,2464,-8172,-29,-5034,-414,-12,552,561,-50,-89,580,-12,-148,879,-30,18,0
1578,1585,6470,479,128,3473,438,-66,2727,197,555,2611,-230,374,2417,-14493,1722,-10764,-700,-154,826,466,11,-68,394,-37,-135,656,-166,-33,0
1274,1581,7860,834,-28,3836,11,129,2712,109,292,2625,1,294,2465,-16083,2738,-14640,-5945,-1996,1609,-252,191,117,329,11,-46,504,-243,-35,0
6505,-2039,4164,782,651,4792,339,173,3065,258,-8,2616,-193,388,2424,-7677,-2351,995,-2524,-852,2162,198,198,214,430,83,-96,553,-148,-45,0
5513,-3565,3931,3029,-1216,5571,371,144,3180,130,47,2646,76,203,2621,-7150,570,-7686,-2584,3922,5356,-893,-56,1190,436,-2,149,632,-123,-102,0
677,-990,1955,1526,790,5470,716,69,3530,196,203,2737,-13,391,2516,-14477,1433,-11011,-3831,2245,4187,-1190,-42,1552,127,-84,289,577,-115,-77,0
4938,690,808,1747,853,5745,661,278,3409,381,185,2663,-69,418,2372,-14386,2555,-7257,-4617,596,4254,-996,-191,1496,551,118,140,584,-163,-101,0
8513,391,624,3865,-571,5403,304,398,3075,281,200,2667,120,203,2508,-14051,740,-10020,-4297,1834,3707,-17057,-10779,2721,450,-314,-59,680,-137,-60,0
5120,257,3019,2869,-419,4512,447,357,2820,267,399,2351,-30,480,2349,-3132,-74,927,246,10,366,600,-117,-86,499,-135,-134,506,-209,-103,0
-1590,-7333,2863,859,-3184,2633,114,-2941,1932,390,-2222,2154,-627,-1307,2075,-2276,-971,1129,120,144,57,86,14,31,191,257,-101,-684,-187,177,0
-7083,-1905,3299,-3897,-943,2014,-3339,-626,1804,-2779,-858,1979,-1925,-492,2226,275,2654,1521,1743,169,2430,87,-270,446,-157,131,16,-313,81,-37,0
-4840,683,4351,-1408,-588,3007,-1048,-426,2428,-1070,-491,2400,-526,-442,2342,13155,896,-8117,3114,193,2060,211,-96,367,-340,-39,-5,-590,108,6,0
-4301,-3116,4972,-1603,-212,3763,-491,-352,2760,-83,-613,2505,-130,-380,2424,7482,903,-2599,2115,-1136,2579,461,95,724,-147,332,62,-606,242,-14,0
-4129,-74,6011,-1441,-154,3926,-325,-188,2696,-367,-433,2656,-141,-225,2427,6299,3339,510,1672,621,2194,-267,90,336,-709,-90,-30,-553,123,-118,0
-11540,-7294,-2497,-1831,-1545,6966,-1083,-165,3663,-434,-305,2641,186,-299,2388,6962,1457,-4162,2834,-1640,3320,585,160,938,-289,-56,120,-515,164,-70,0
-1594,-1329,7038,-800,34,3604,-256,-47,2694,127,-676,2624,88,-220,2403,8488,704,-5345,3066,-2481,3377,256,-96,555,-258,164,21,-384,153,-95,0
-2382,-2600,4856,-919,-50,3908,154,-249,2793,572,-434,2465,598,-250,2445,16606,-74,-8241,3036,-688,2240,473,687,574,-366,103,73,-388,158,-80,0
-3827,30,5429,-1222,-14,5605,257,-165,3131,225,-114,2565,459,-75,2347,14543,-1871,-8041,2454,-1447,3028,386,-60,701,-286,107,-17,-610,-6,-10,0
-5288,716,2224,-1721,-798,6742,-250,-361,3200,-203,-193,2373,272,-241,2262,10651,-2681,-864,3344,-218,2961,846,34,499,-308,83,-30,-510,272,-50,0
-5560,-6758,668,-3588,1114,5573,-455,-159,3097,-176,-13,2385,97,-280,2583,7064,-3749,4503,1402,178,712,-99,8,30,-271,32,-58,-331,29,-37,0
-5994,-503,189,-5501,1813,4788,-338,-736,3012,-309,-338,2501,5567,-27963,-31234,7634,384,797,2224,-1005,1902,320,-23,434,-85,43,5,-471,10,-10,0
-4999,-943,4306,-2009,-91,3948,-311,-498,2655,-212,-478,2410,209,-425,2351,16235,-209,-3277,3478,574,2141,423,-110,451,-417,46,0,-531,44,-86,0
-7089,145,3449,-2051,-429,4075,-534,-563,2694,-68,-805,2429,-94,-459,2328,8861,-1102,-6562,3331,488,2101,164,-347,400,-266,-43,-9,-483,-54,-44,0
-5195,1056,7087,-3296,494,4497,-514,-602,2780,-513,-532,2455,-28,-134,1756,15833,-829,-12338,3778,-2352,3643,417,47,767,-314,294,30,-470,202,-66,0
-892,-702,181,-632,-1656,7971,-515,-85,3403,-209,-14,2570,209,-216,2357,14011,-4002,-9372,4990,11,4560,1243,149,1638,-211,173,238,-523,165,-79,0
-764,-2362,8602,-1792,207,4305,-145,-277,2818,100,-523,2497,342,-257,2478,13642,-1899,-10585,2984,-2653,3768,441,254,637,-259,327,44,-522,121,-57,0
-5218,-192,2009,-1736,-767,5191,-181,-497,2972,-17,-512,2400,254,-490,2326,16370,-456,-9173,3365,-2047,4863,1036,23,1399,-217,75,181,-585,348,-2,0
-11022,-8028,-1380,-2016,-989,7117,-1007,-93,3454,-140,-267,2433,170,-378,2426,15448,-2160,-9980,15721,28442,22812,1048,88,1304,-352,-77,180,-614,264,3,0
-4961,-675,3906,-1537,-456,4893,-611,-465,3139,-434,-504,2615,172,-432,2346,3863,2154,-795,3219,-953,4445,44,-71,619,-572,66,-28,-671,134,-26,0
-10738,-9054,-1503,-70,-2374,7787,-1477,-255,3718,-244,-572,2521,1,-456,2307,5170,-1478,4467,5170,-1478,4467,5170,-1478,4467,5170,-1478,4467,2133,637,1767,0
904,-986,3019,236,97,2488,458,125,2357,-53,156,2176,-31,-31,2276,-10873,8340,-7441,-5244,2264,3686,-1489,-74,686,-13,-139,0,291,-79,-134,0
8389,328,4025,982,758,4265,239,293,3014,-348,253,2550,-307,203,2656,-1948,3302,-4936,-2262,1663,4465,-506,222,982,55,-329,91,440,-188,-117,0
3447,599,5715,574,534,3323,-14,78,2510,-409,223,2521,-518,62,2335,-12480,5471,-8803,-3023,914,4363,-698,23,1025,304,-248,100,585,-200,-171,0
7566,6391,392,2009,1984,5521,43,715,3083,-267,446,2423,-356,147,2191,-8212,4009,-8647,-3625,2163,4110,-1091,-26,951,115,-63,100,345,-321,-126,0
610,2767,445,1077,957,6379,891,616,3992,206,192,2696,-906,253,2370,-9377,-32,-1261,-2252,1925,2943,-427,-286,535,175,-345,1,391,-272,-130,0
-282,-639,858,601,1032,7373,1355,554,3968,116,-28,2634,-434,-89,2410,-15469,6087,-9800,-1202,12,1043,431,-129,-123,478,-107,-170,622,-336,68,0
4845,2217,2336,1555,1202,6728,606,640,3589,58,155,2516,-307,63,2269,-14574,6200,-8448,-4249,812,5407,-942,-14,975,264,0,88,661,-190,-40,0
5573,2196,3427,2127,1338,4810,339,566,2795,234,529,2438,-289,373,2318,-7898,-3039,-1348,-1993,2410,3836,-482,59,711,70,-293,18,539,-216,-54,0
7069,2654,2556,1896,1070,5215,559,195,3034,38,-21,2507,-291,199,2536,-6584,-3289,156,-2697,1442,3888,-205,178,655,259,-224,-22,668,224,-61,0
3263,3613,-3199,2337,2364,6764,1199,933,3385,385,498,2289,-53,372,2400,-9884,-1798,-1399,-2637,177,2348,85,218,324,433,-14,-84,267,-140,-134,0
187,1149,2996,-3,783,2312,-577,851,2234,-383,692,2185,-318,566,2186,-14415,4709,-13204,-4912,1903,4458,-1356,334,1197,-75,29,142,411,-284,-34,0
869,848,3226,222,542,2416,-327,524,2187,-454,407,2161,-314,300,2189,-7004,-1433,473,-3371,-284,2613,-78,178,347,182,-161,-57,561,-337,-75,0
561,1284,3633,-102,650,2543,-120,555,2298,-484,605,2134,-387,394,2177,-4112,388,-4695,-2704,2337,6503,-1316,140,1207,93,55,123,516,-155,-69,0
79,2204,-483,1781,1229,7590,1064,787,3735,213,270,2509,-343,144,2328,-7226,3673,-5656,-3921,145,3814,-1140,-78,1206,56,-291,119,586,-282,-36,0
537,714,3128,263,328,2359,-431,387,2246,-469,357,2309,-327,193,2257,-9318,-2539,-1267,-3221,-300,2875,-643,-354,426,137,-240,-11,718,-361,87,0
808,2262,6226,312,847,3057,-299,486,2426,-374,490,2269,-541,293,2191,-12382,6268,-6535,-871,669,2146,445,-262,-52,563,-146,-170,558,-333,-79,0
4681,-138,3902,2468,875,6058,849,380,3152,303,112,2484,-122,100,2270,-6863,-1902,874,-2090,-833,2504,160,-175,354,586,-237,-88,624,-223,-99,0
234,894,3043,88,439,2175,-297,556,2269,-350,462,2262,-261,260,2217,-12546,8173,-11034,-848,189,954,592,-35,-106,405,-162,-177,681,-309,66,0
1843,2206,-1816,713,2031,7354,710,613,3751,-62,311,2681,-317,135,2347,-5127,-3265,88,-2483,1125,3986,71,-216,432,519,-243,-57,535,-118,-110,0
4636,1922,4386,1440,654,4223,527,175,2876,-140,113,2485,36,70,2477,-6705,-4388,223,-3067,-724,3038,203,100,470,667,-187,-72,805,0,-142,0
5595,2318,2953,2451,1180,4762,343,650,3046,-8,396,2378,-134,405,2399,-7947,1927,2309,-2376,109,2329,-125,-257,348,494,-364,-63,579,-332,-168,0
1824,1811,6455,567,664,3146,119,262,2601,-447,281,2384,-411,92,2410,-16065,6236,-9175,-5915,2021,3833,-1136,178,960,502,8,44,579,-297,-15,0
4143,769,2037,2825,757,3974,391,413,2594,-34,391,2322,-56,463,2302,-7486,1813,1407,-2797,282,1771,-26,109,216,268,-13,-56,279,-103,-104,0
2558,2461,5970,519,1000,3303,-44,649,2440,-275,707,2415,-451,447,2248,-9500,1633,-6874,-2755,2176,4109,-939,231,1100,168,-80,96,413,-588,-69,0
4286,3007,5435,2491,989,4314,-24,469,2768,-28,327,2335,-528,237,2250,-13521,4055,-7284,-2245,844,3323,-734,40,716,162,-283,32,495,-348,-95,0
2868,-1214,2378,1535,-768,2104,1197,-392,2161,730,-227,2125,262,-1824,1718,183,1668,226,48,216,60,143,194,-161,90,114,-144,38,71,-77,0
-6358,-7693,3305,-1994,-3075,2292,-1729,-2554,1988,-1230,-2281,1976,-950,-1297,2238,1857,1059,-2153,95,-242,333,-259,14,-90,-176,107,-122,-338,317,-39,0
-3587,-2999,5056,-2490,-1317,3512,-626,-1055,2535,-527,-815,2217,-232,-429,2214,12418,-4551,-9216,2275,-3792,3781,868,230,623,-409,60,8,-392,173,-140,0
932,-3896,6089,-1519,-772,3281,-102,-606,2601,-165,-478,2484,140,-268,2364,4134,316,1832,2661,275,2681,-60,-72,414,-334,221,-13,-700,247,67,0
-13565,-11127,-2315,-3929,-1830,3730,-590,-971,2520,-313,-645,2191,-62,-494,2248,14913,-7627,-7990,874,-101,919,-506,175,-103,-341,280,-167,-537,454,16,0
-4852,-1838,5625,-915,-687,3912,27,-433,2694,148,-385,2447,236,-217,2285,14873,-5990,-9764,3989,-3018,5272,16372,28188,6274,-355,273,-13,-433,280,-133,0
-8610,-1401,3717,-1882,-944,4458,-195,-494,2867,262,-392,2497,394,-133,2316,15748,-7335,-9791,5202,-1676,2122,841,-15,752,-207,159,58,-360,199,-95,0
-6205,-1467,4357,-1936,-1530,5199,-119,-818,3072,89,-569,2415,357,-381,2258,6438,-4537,2320,1724,-151,1006,-201,94,29,-276,214,-87,-507,466,62,0
-1351,-2442,7671,-730,-825,3341,-359,-355,2414,148,-572,2354,364,-388,2154,5180,332,2008,2871,-59,2015,-126,-191,189,-291,53,-72,-271,223,-113,0
-5089,-9,2352,-2530,-1215,6371,-431,-534,3143,-159,-328,2476,430,-250,2181,16254,-6358,-9379,7055,-2664,585,1596,-406,1129,-245,20,48,-227,373,-139,0
-2761,-1567,-1322,-1532,-1204,6916,-473,-243,3163,-217,-166,2484,356,-85,2299,15891,-7578,-13634,3540,-3874,4453,1052,-306,759,-158,119,-26,-262,431,-81,0
-442,-1303,6963,-583,-369,3600,-74,-214,2667,593,-338,2420,573,-117,2258,7006,-1944,3212,1835,-142,1122,86,61,101,-352,13,-93,-374,206,-32,0
-850,-3643,6809,-1205,-1072,3689,24,-500,2572,302,-396,2376,300,-274,2294,14094,-3653,-10714,3373,-1816,3751,685,-165,703,-181,159,19,-446,424,-36,0
-1654,-3389,6306,-1227,-882,3819,-454,-459,2660,155,-524,2377,204,-158,2307,8051,-765,-5739,2873,-2506,5155,561,-52,685,-293,168,-6,-438,211,-65,0
-7924,-2698,216,-2528,-1188,4625,-446,-658,2838,-198,-521,2454,231,-384,2313,5501,2299,-2748,2033,-3747,4620,933,-114,896,-125,21,103,-398,155,-77,0
-4445,-2213,5830,-1810,-1283,3732,-264,-752,2466,164,-710,2252,74,-480,2238,4878,878,-2844,2966,-2195,4691,293,-56,677,-438,308,-60,-372,495,-87,0
-1816,-1214,3498,-332,-734,2537,228,-669,2252,252,-540,2199,152,-480,2275,14715,-4742,-12229,3255,-3350,4522,500,-259,534,-219,99,-49,-361,96,-59,0
-2727,-1061,4270,-212,-700,2750,-19,-489,2212,423,-598,2289,264,-482,2255,8527,1321,-1916,3355,-1521,3453,502,-217,521,-112,50,0,-381,443,26,0
-692,-942,3352,-141,-551,2476,405,-674,2435,193,-518,2309,323,-557,2375,11995,-700,-9251,3076,-2206,2857,561,-244,475,-97,65,-8,-371,14,-59,0
-704,-2458,6042,-827,-717,3286,-382,-493,2501,172,-579,2371,146,-378,2262,8751,787,-4009,2842,-2436,3428,672,-221,773,-50,128,51,-377,138,-89,0
-1460,-2604,6579,-1856,-946,3737,-182,-543,2568,157,-596,2371,277,-365,2304,16250,-5581,-10719,2581,-3303,3926,843,-304,1198,15,39,222,-241,209,-103,0
-3399,-2597,6918,-1081,-1069,3947,-102,-553,2675,286,-521,2477,309,-396,2249,7670,1068,-5204,2066,-3376,5007,1189,-6,1203,-137,172,102,-329,485,-71,0
-8583,-2015,3455,-3093,-1316,4694,-498,-687,2823,-120,-469,2404,275,-380,2302,13763,-5203,-12258,3416,-3090,4359,845,-354,704,-302,-18,-19,-451,34,-48,0
-961,-3845,7205,-848,-968,3161,-206,-550,2389,224,-600,2287,359,-399,2275,14477,-5912,-10545,2800,-2821,4454,806,-54,875,-317,68,72,-478,537,-48,0
30992,-31507,-5699,-381,-557,2697,-53,-418,2430,110,-405,2288,30,-433,2400,7081,1975,1339,2635,417,2101,-71,-24,390,-379,339,-121,-445,492,-75,0
-146,-3251,5614,-1183,-1006,3172,-326,-640,2518,265,-593,2237,296,-375,2344,10312,2343,-1886,413,-2068,2027,-181,-12,348,-306,195,21,-333,348,-83,0
-2364,-3174,5748,-1078,-769,3665,-176,-425,2656,219,-478,2463,239,-313,2313,6814,1979,1025,150,30,467,-525,159,-92,-353,213,-137,-598,367,27,0
